epoch,train_loss,MA,HE,EX,SE,mean_auc,loss
29,0.41317787876835577,"{'f1': 0.0, 'auc': 0.7738}","{'f1': 0.0001, 'auc': 0.9625}","{'f1': 0.6416, 'auc': 0.9586}","{'f1': 0.5211, 'auc': 0.9823}",0.9193,0.3802
30,0.40994412148440323,"{'f1': 0.0, 'auc': 0.617}","{'f1': 0.1893, 'auc': 0.938}","{'f1': 0.6445, 'auc': 0.9453}","{'f1': 0.5004, 'auc': 0.9581}",0.8646,0.3642
31,0.3934663015383261,"{'f1': 0.0, 'auc': 0.7925}","{'f1': 0.4203, 'auc': 0.9609}","{'f1': 0.6056, 'auc': 0.9601}","{'f1': 0.4025, 'auc': 0.9501}",0.9159,0.3657
32,0.3925768523304551,"{'f1': 0.0, 'auc': 0.6753}","{'f1': 0.4643, 'auc': 0.929}","{'f1': 0.6342, 'auc': 0.9579}","{'f1': 0.5331, 'auc': 0.9383}",0.8751,0.3351
33,0.3756681481997172,"{'f1': 0.0, 'auc': 0.7393}","{'f1': 0.4996, 'auc': 0.9456}","{'f1': 0.5575, 'auc': 0.9724}","{'f1': 0.5654, 'auc': 0.9817}",0.9097,0.3256
34,0.37153766331849275,"{'f1': 0.0, 'auc': 0.6368}","{'f1': 0.514, 'auc': 0.9441}","{'f1': 0.6264, 'auc': 0.9532}","{'f1': 0.5678, 'auc': 0.9463}",0.8701,0.3085
35,0.37134887995543303,"{'f1': 0.0, 'auc': 0.6995}","{'f1': 0.5179, 'auc': 0.9274}","{'f1': 0.6358, 'auc': 0.9544}","{'f1': 0.5841, 'auc': 0.9612}",0.8856,0.3014
36,0.35254236724641586,"{'f1': 0.0, 'auc': 0.6951}","{'f1': 0.5252, 'auc': 0.9273}","{'f1': 0.6307, 'auc': 0.9561}","{'f1': 0.5837, 'auc': 0.9669}",0.8863,0.2948
37,0.3503202795982361,"{'f1': 0.0, 'auc': 0.7409}","{'f1': 0.5198, 'auc': 0.93}","{'f1': 0.6316, 'auc': 0.9609}","{'f1': 0.5772, 'auc': 0.9571}",0.8972,0.2929
38,0.33126393733201204,"{'f1': 0.0, 'auc': 0.6636}","{'f1': 0.528, 'auc': 0.9228}","{'f1': 0.6319, 'auc': 0.9611}","{'f1': 0.5781, 'auc': 0.9513}",0.8747,0.2863
39,0.33314333359400433,"{'f1': 0.0, 'auc': 0.7017}","{'f1': 0.5428, 'auc': 0.9373}","{'f1': 0.6351, 'auc': 0.9565}","{'f1': 0.5906, 'auc': 0.9652}",0.8902,0.2778
40,0.3133165759068948,"{'f1': 0.0, 'auc': 0.6997}","{'f1': 0.5015, 'auc': 0.8961}","{'f1': 0.6546, 'auc': 0.956}","{'f1': 0.5826, 'auc': 0.9534}",0.8763,0.2816
41,0.3281090358893077,"{'f1': 0.0, 'auc': 0.7172}","{'f1': 0.5194, 'auc': 0.9094}","{'f1': 0.6427, 'auc': 0.959}","{'f1': 0.5949, 'auc': 0.9615}",0.8868,0.2792
42,0.3275087497852467,"{'f1': 0.0, 'auc': 0.7409}","{'f1': 0.5335, 'auc': 0.9128}","{'f1': 0.6464, 'auc': 0.9601}","{'f1': 0.5879, 'auc': 0.9527}",0.8916,0.2728
43,0.3165959682729509,"{'f1': 0.0, 'auc': 0.7327}","{'f1': 0.5457, 'auc': 0.921}","{'f1': 0.658, 'auc': 0.959}","{'f1': 0.6061, 'auc': 0.9509}",0.8909,0.2678
44,0.31390320702835367,"{'f1': 0.0, 'auc': 0.742}","{'f1': 0.563, 'auc': 0.9356}","{'f1': 0.6503, 'auc': 0.9618}","{'f1': 0.6137, 'auc': 0.9685}",0.902,0.2635
45,0.28834676852932684,"{'f1': 0.0, 'auc': 0.7387}","{'f1': 0.5709, 'auc': 0.9508}","{'f1': 0.668, 'auc': 0.9563}","{'f1': 0.5981, 'auc': 0.9505}",0.8991,0.2595
